Angle	Frequency	m	p
40	32	5.27342494556	-0.0800286278088
48	32	4.55568901291	-0.0196968999698
56	32	4.01388085765	0.0181408577711
64	32	3.54896745631	0.0261920680277
72	32	3.27551881074	-0.0240229471034
80	32	2.95563813242	0.011426008311
96	32	2.53436188493	-0.0343641876676
112	32	2.12705030461	0.0530364423975
128	32	1.86588396371	0.047759360601
144	32	1.69379184198	-0.0177391296056
160	32	1.51581111447	-0.0195666877093
180	32	1.33832207289	0.00747886627728

0.5	40	9.99564111844	-1.7647719666e-05
1	40	9.98797431568	0.000417431995551
2	40	9.96092962467	-0.000219540722329
4	40	9.84194460704	0.0116328803154
8	40	9.40274649866	0.00585115616983
16	40	8.12350503938	-0.03902435999
24	40	6.68854030709	-0.0738400227992
32	40	5.66916232878	-0.0523120671869
40	40	4.87306186548	-0.0339429739411
48	40	4.15470248413	0.0455361716381
56	40	3.65229945145	0.0363721018545
64	40	3.30487307197	-0.0387432211905
72	40	2.92779165347	0.0155673862723
80	40	2.72660485257	0.00399975451628
96	40	2.2190148625	0.0402323323681
112	40	1.97833033557	-0.0285698607967
128	40	1.69521343179	0.00900533981834
144	40	1.51875755106	-0.0132916851703
160	40	1.33873691865	0.0254635203575
180	40	1.2034695051	0.0037634071425

0.5	48	9.99524924619	-0.000154654391072
1	48	9.98686187532	-0.000809213323736
2	48	9.95263345706	-0.00140975517685
4	48	9.82347593827	-0.0104388223473
8	48	9.30081385871	-0.000174923847869
16	48	7.76617088661	0.0353762650848
24	48	6.20145747982	0.0958268286029
32	48	5.34064385941	-0.0952444187246
40	48	4.45377252101	-0.032937800813
48	48	3.8518873535	0.0428801275291
56	48	3.37185244271	0.00621797353185
64	48	2.9859094462	0.0790373933848
72	48	2.71506825245	0.00330384218244
80	48	2.55484114693	-0.110429645712
96	48	2.05889931833	0.0331452097007
112	48	1.7811478666	0.00236233805299
128	48	1.54297503144	0.0208192002231
144	48	1.39625995603	-0.0279662010903
160	48	1.23866646242	-0.00399954414589
180	48	1.08029592604	0.0245310798115

0.5	56	9.99461028735	-0.000195705895288
1	56	9.98493826872	-0.000515416754827
2	56	9.94467903689	-0.00122680900632
4	56	9.79122900728	-0.00855789271852
8	56	9.22110948763	-0.0175044100788
16	56	7.47752445346	0.0715574606575
24	56	6.0474491972	0.00938685734436
32	56	4.87634076905	0.101109494259
40	56	4.17865813613	0.00388964204063
48	56	3.57962753507	0.0475151670981
56	56	3.16164624398	0.0225557318396
64	56	2.8282043474	-0.0155809354706
72	56	2.52377811069	0.00480385686882
80	56	2.27490795644	0.0275327460049
96	56	1.93042844548	-0.0182940010378
112	56	1.65211997575	0.000121964723401
128	56	1.46361210554	-0.0416314245558
144	56	1.26684263824	0.0141559240606
160	56	1.14309912397	0.0040813547502
180	56	1.00406140176	0.0330012143798

0.5	64	9.9943702025	-0.000271859818404
1	64	9.98279334772	-0.00027097196719
2	64	9.94135559854	-0.00464265075615
4	64	9.75862800399	-0.00778915341724
8	64	9.10886967479	-0.0178833908461
16	64	7.33252102719	0.0076825460371
24	64	5.76209021695	0.034545309637
32	64	4.72078708702	0.0446344055871
40	64	3.9662051391	0.0626770923877
48	64	3.4568265624	0.00698336335861
56	64	2.95159351514	0.0741418633394
64	64	2.70988151106	-0.0557571187164
72	64	2.41530968583	-0.00752958032027
80	64	2.19627439294	-0.0241288539889
96	64	1.82267057127	0.015512977732
112	64	1.56312175332	0.00892342938205
128	64	1.36747199613	0.0220665271241
144	64	1.21614964362	-0.0137985583753
160	64	1.08567350526	0.00437864788655
180	64	0.970150220179	-0.0125356394145

0.5	80	9.99325824783	0.000134799503787
1	80	9.98020334083	-0.00161470274226
2	80	9.92538270059	-0.0027726903841
4	80	9.71311084751	-0.0109445621051
8	80	9.01823293813	-0.101821610495
