#Speed	Angle	Frequency	Area	Stdev	m	p
2.0	30	4	18.2446845815	0.980282795469	7.43067491441	0.0543284819088
2.0	40	4	17.3063636137	1.42230603991	7.43067491441	0.0543284819088
2.0	50	4	16.3349807339	1.77153664956	7.43067491441	0.0543284819088
2.0	60	4	16.1355385851	1.26775656465	7.43067491441	0.0543284819088
2.0	90	4	11.8483983797	2.53439339064	7.43067491441	0.0543284819088
2.0	120	4	9.60189449513	1.87150729071	7.43067491441	0.0543284819088
2.0	180	4	7.01893210392	1.2747560767	7.43067491441	0.0543284819088
2.25	10	4	22.2961727436	0.112032000387	7.43067491441	0.0543284819088
2.25	20	4	21.9070488387	0.242686698746	7.43067491441	0.0543284819088
2.25	30	4	20.8871000043	0.736657507543	7.43067491441	0.0543284819088
2.25	40	4	19.8428568033	1.43199548726	7.43067491441	0.0543284819088
